Tampering_Percentage	Attack_Type	Mean_Euclidean	Std_Euclidean
0.0	NGram Shuffle (local)	0.0	0.0
0.1	NGram Shuffle (local)	0.0	0.0
0.2	NGram Shuffle (local)	0.0	0.0
0.3	NGram Shuffle (local)	0.0	0.0
0.4	NGram Shuffle (local)	0.03106902539730072	0.06947244703769684
0.5	NGram Shuffle (local)	0.05840939283370972	0.06581708788871765
0.6	NGram Shuffle (local)	0.03325553610920906	0.04788960516452789
0.7	NGram Shuffle (local)	0.0769343450665474	0.10434117913246155
0.8	NGram Shuffle (local)	0.10500490665435791	0.05592992901802063
0.9	NGram Shuffle (local)	0.08638381212949753	0.05964204668998718
1.0	NGram Shuffle (local)	0.13728243112564087	0.06575962156057358
0.0	NGram Shuffle (global)	0.0	0.0
0.1	NGram Shuffle (global)	0.0	0.0
0.2	NGram Shuffle (global)	0.0	0.0
0.3	NGram Shuffle (global)	0.0	0.0
0.4	NGram Shuffle (global)	0.03113153576850891	0.04759005084633827
0.5	NGram Shuffle (global)	0.20221459865570068	0.28608351945877075
0.6	NGram Shuffle (global)	0.17974530160427094	0.16076906025409698
0.7	NGram Shuffle (global)	0.2746018171310425	0.1869245171546936
0.8	NGram Shuffle (global)	0.23724085092544556	0.13759957253932953
0.9	NGram Shuffle (global)	0.16869677603244781	0.08608979731798172
1.0	NGram Shuffle (global)	0.30906811356544495	0.08704516291618347
0.0	Synonym Attack	0.0	0.0
0.1	Synonym Attack	0.005551464390009642	0.007876818999648094
0.2	Synonym Attack	0.04228058084845543	0.030039116740226746
0.3	Synonym Attack	0.07387740164995193	0.045289136469364166
0.4	Synonym Attack	0.12166819721460342	0.04221315309405327
0.5	Synonym Attack	0.10871914774179459	0.09036446362733841
0.6	Synonym Attack	0.11155212670564651	0.027905568480491638
0.7	Synonym Attack	0.13699397444725037	0.08086816966533661
0.8	Synonym Attack	0.13764435052871704	0.06430669128894806
0.9	Synonym Attack	0.14439213275909424	0.04636985436081886
1.0	Synonym Attack	0.12606798112392426	0.06283976882696152
0.0	Paraphrase Attack (local)	0.0	0.0
0.1	Paraphrase Attack (local)	0.0	0.0
0.2	Paraphrase Attack (local)	0.02903430163860321	0.06492266803979874
0.3	Paraphrase Attack (local)	0.08257129788398743	0.08302268385887146
0.4	Paraphrase Attack (local)	0.12030991166830063	0.0904143676161766
0.5	Paraphrase Attack (local)	0.12088372558355331	0.12565071880817413
0.6	Paraphrase Attack (local)	0.12640228867530823	0.09930235147476196
0.7	Paraphrase Attack (local)	0.1455267369747162	0.11343111097812653
0.8	Paraphrase Attack (local)	0.1455267369747162	0.11343111097812653
0.9	Paraphrase Attack (local)	0.20079167187213898	0.0431821309030056
1.0	Paraphrase Attack (local)	0.2007565051317215	0.05400584638118744
0.0	Paraphrase Attack (global)	0.0	0.0
0.1	Paraphrase Attack (global)	0.004916411358863115	0.010993429459631443
0.2	Paraphrase Attack (global)	0.013078355230391026	0.019330991432070732
0.3	Paraphrase Attack (global)	0.0	0.0
0.4	Paraphrase Attack (global)	0.016345826908946037	0.036550380289554596
0.5	Paraphrase Attack (global)	0.025247812271118164	0.026142852380871773
0.6	Paraphrase Attack (global)	0.027719927951693535	0.03507076948881149
0.7	Paraphrase Attack (global)	0.03340975567698479	0.02458440326154232
0.8	Paraphrase Attack (global)	0.04745392128825188	0.029927531257271767
0.9	Paraphrase Attack (global)	0.056621674448251724	0.02089560590684414
1.0	Paraphrase Attack (global)	0.056621674448251724	0.02089560590684414
