Tampering_Percentage	Attack_Type	Mean_Cosine_Similarity	Std_Cosine_Similarity
0.0	NGram Shuffle (local)	1.0	2.4333495218797907e-08
0.1	NGram Shuffle (local)	1.0	2.4333495218797907e-08
0.2	NGram Shuffle (local)	1.0	2.4333495218797907e-08
0.3	NGram Shuffle (local)	1.0	2.4333495218797907e-08
0.4	NGram Shuffle (local)	0.9353453516960144	0.14457233250141144
0.5	NGram Shuffle (local)	0.9218830466270447	0.11335869878530502
0.6	NGram Shuffle (local)	0.9643790125846863	0.054137665778398514
0.7	NGram Shuffle (local)	0.8926272392272949	0.15960288047790527
0.8	NGram Shuffle (local)	0.8665431141853333	0.1157747283577919
0.9	NGram Shuffle (local)	0.8820459842681885	0.14109794795513153
1.0	NGram Shuffle (local)	0.872033417224884	0.09082629531621933
0.0	NGram Shuffle (global)	1.0	2.4333495218797907e-08
0.1	NGram Shuffle (global)	1.0	2.4333495218797907e-08
0.2	NGram Shuffle (global)	1.0	2.4333495218797907e-08
0.3	NGram Shuffle (global)	1.0	2.4333495218797907e-08
0.4	NGram Shuffle (global)	0.9606505036354065	0.0702110230922699
0.5	NGram Shuffle (global)	0.6411319971084595	0.4543820917606354
0.6	NGram Shuffle (global)	0.6248306632041931	0.43722957372665405
0.7	NGram Shuffle (global)	0.4446207582950592	0.44360795617103577
0.8	NGram Shuffle (global)	0.3463038206100464	0.4338091015815735
0.9	NGram Shuffle (global)	0.5468736886978149	0.3908289074897766
1.0	NGram Shuffle (global)	0.15501423180103302	0.33437037467956543
0.0	Synonym Attack	1.0	2.4333495218797907e-08
0.1	Synonym Attack	0.9995126724243164	0.0007445092196576297
0.2	Synonym Attack	0.9845889210700989	0.018530605360865593
0.3	Synonym Attack	0.9234259724617004	0.07403911650180817
0.4	Synonym Attack	0.8702512383460999	0.07672402262687683
0.5	Synonym Attack	0.8307130932807922	0.2646225690841675
0.6	Synonym Attack	0.9085649847984314	0.04386427626013756
0.7	Synonym Attack	0.755368173122406	0.29307234287261963
0.8	Synonym Attack	0.8368944525718689	0.15847870707511902
0.9	Synonym Attack	0.8522223830223083	0.07238029688596725
1.0	Synonym Attack	0.8425405621528625	0.12454933673143387
0.0	Paraphrase Attack (local)	1.0	2.4333495218797907e-08
0.1	Paraphrase Attack (local)	1.0	2.4333495218797907e-08
0.2	Paraphrase Attack (local)	0.9342873096466064	0.1469379961490631
0.3	Paraphrase Attack (local)	0.8244149088859558	0.18228782713413239
0.4	Paraphrase Attack (local)	0.7902202606201172	0.1590164601802826
0.5	Paraphrase Attack (local)	0.7670885920524597	0.23536506295204163
0.6	Paraphrase Attack (local)	0.7720780968666077	0.1799217164516449
0.7	Paraphrase Attack (local)	0.724848210811615	0.21128518879413605
0.8	Paraphrase Attack (local)	0.724848210811615	0.21128518879413605
0.9	Paraphrase Attack (local)	0.6591323018074036	0.13044990599155426
1.0	Paraphrase Attack (local)	0.6191789507865906	0.10398737341165543
0.0	Paraphrase Attack (global)	1.0	2.4333495218797907e-08
0.1	Paraphrase Attack (global)	0.998656690120697	0.00300373206846416
0.2	Paraphrase Attack (global)	0.9969527721405029	0.004354475066065788
0.3	Paraphrase Attack (global)	1.0	2.4333495218797907e-08
0.4	Paraphrase Attack (global)	0.9962348937988281	0.008418962359428406
0.5	Paraphrase Attack (global)	0.9898136258125305	0.010814140550792217
0.6	Paraphrase Attack (global)	0.9926474094390869	0.008487620390951633
0.7	Paraphrase Attack (global)	0.9881097674369812	0.009836094453930855
0.8	Paraphrase Attack (global)	0.9862284064292908	0.009991694241762161
0.9	Paraphrase Attack (global)	0.9822153449058533	0.0065260096453130245
1.0	Paraphrase Attack (global)	0.9822153449058533	0.0065260096453130245
